"anio","geocodigoFundar","metrica","fuente","valor"
"2076","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","84.9325"
"2077","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.0587"
"2078","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.1812"
"2079","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.3024"
"2080","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.4217"
"2081","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.5464"
"2082","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.6634"
"2083","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.7776"
"2084","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","85.9021"
"2085","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.0168"
"2086","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.1438"
"2087","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.2684"
"2088","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.3821"
"2089","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.494"
"2090","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.6152"
"2091","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.729"
"2092","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.8457"
"2093","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","86.9581"
"2094","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.0769"
"2095","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.191"
"2096","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.3053"
"2097","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.4185"
"2098","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.5245"
"2099","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.6338"
"2100","ARG","Esperanza de vida al nacer","World Population Prospects (UN)","87.7408"
"1870","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","1.498"
"1880","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","1.642"
"1890","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","1.786"
"1900","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","2.122"
"1913","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","2.526"
"1925","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","3.33886"
"1929","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","3.702"
"1933","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","4.11323645970938"
"1938","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","4.492"
"1950","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","5.402"
"1955","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","5.72494296577947"
"1960","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","6.18"
"1965","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","6.4457429048414"
"1970","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","6.82"
"1975","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","7.28284349742836"
"1980","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","7.65"
"1985","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","7.73477983407786"
"1990","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","7.79"
"1995","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","8.16505263157895"
"2000","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","8.37"
"2005","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","9.086875"
"2010","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","9.3"
"2015","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","9.85"
"2020","ARG","Años de escolarización promedio de la población mayor a 15 años","Prados de la Escosura","11.14726927"
"2021","ARG","Años de escolarización promedio de la población mayor a 15 años","Human Development Report","11.185"
"2022","ARG","Años de escolarización promedio de la población mayor a 15 años","Human Development Report","11.185"
"2023","ARG","Años de escolarización promedio de la población mayor a 15 años","Human Development Report","11.185"
"1789","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1790","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1791","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1792","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1793","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1794","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1795","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1796","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1797","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1798","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1799","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1800","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1801","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1802","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1803","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1804","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1805","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1806","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1807","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1808","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1809","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1810","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.066"
"1811","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.077"
"1812","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.077"
"1813","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.077"
"1814","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.077"
"1815","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.077"
"1816","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.082"
"1817","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.082"
"1818","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.082"
"1819","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.082"
"1820","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1821","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1822","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1823","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1824","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1825","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1826","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.093"
"1827","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.091"
"1828","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.088"
"1829","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1830","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1831","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1832","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1833","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1834","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1835","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1836","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1837","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1838","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1839","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.087"
"1840","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1841","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1842","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1843","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1844","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1845","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1846","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1847","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1848","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1849","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.078"
"1850","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.08"
"1851","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.08"
"1852","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.086"
"1853","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.142"
"1854","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.145"
"1855","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.165"
"1856","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.165"
"1857","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.173"
"1858","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.173"
"1859","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.172"
"1860","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.196"
"1861","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.2"
"1862","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.241"
"1863","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.265"
"1864","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.264"
"1865","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.264"
"1866","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.264"
"1867","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.264"
"1868","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.264"
"1869","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.264"
"1870","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.27"
"1871","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.27"
"1872","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.268"
"1873","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.268"
"1874","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1875","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1876","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1877","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1878","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1879","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1880","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1881","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1882","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1883","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1884","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1885","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1886","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1887","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.274"
"1888","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.273"
"1889","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.273"
"1890","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.271"
"1891","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.271"
"1892","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.272"
"1893","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.272"
"1894","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.271"
"1895","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.271"
"1896","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.272"
"1897","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.272"
"1898","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.272"
"1899","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.272"
"1900","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.278"
"1901","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.278"
"1902","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.277"
"1903","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.277"
"1904","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.273"
"1905","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.269"
"1906","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.269"
"1907","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.27"
"1908","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.27"
"1909","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.27"
"1910","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.281"
"1911","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.284"
"1912","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.316"
"1913","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.325"
"1914","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.324"
"1915","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.324"
"1916","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.359"
"1917","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.371"
"1918","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.376"
"1919","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.373"
"1920","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.377"
"1921","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.378"
"1922","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.378"
"1923","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.384"
"1924","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.387"
"1925","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.387"
"1926","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.388"
"1927","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.389"
"1928","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.387"
"1929","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.384"
"1930","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.252"
"1931","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.122"
"1932","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.218"
"1933","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.249"
"1934","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.249"
"1935","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.248"
"1936","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.25"
"1937","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.251"
"1938","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.25"
"1939","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.25"
"1940","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.249"
"1941","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.251"
"1942","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.253"
"1943","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.154"
"1944","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.1"
"1945","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.109"
"1946","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.23"
"1947","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.204"
"1948","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.223"
"1949","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.213"
"1950","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.196"
"1951","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.193"
"1952","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.191"
"1953","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.19"
"1954","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.188"
"1955","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.153"
"1956","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.101"
"1957","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.116"
"1958","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.246"
"1959","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.35"
"1960","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.356"
"1961","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.362"
"1962","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.206"
"1963","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.226"
"1964","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.423"
"1965","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.427"
"1966","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.202"
"1967","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.089"
"1968","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.084"
"1969","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.081"
"1970","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.092"
"1971","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.094"
"1972","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.095"
"1973","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.278"
"1974","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.326"
"1975","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.295"
"1976","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.068"
"1977","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.049"
"1978","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.049"
"1979","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.049"
"1980","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.05"
"1981","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.05"
"1982","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.051"
"1983","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.21"
"1984","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.677"
"1985","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.677"
"1986","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.675"
"1987","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.675"
"1988","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.675"
"1989","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.672"
"1990","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.622"
"1991","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.632"
"1992","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.635"
"1993","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.635"
"1994","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.641"
"1995","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.646"
"1996","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.637"
"1997","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.638"
"1998","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.639"
"1999","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.646"
"2000","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.676"
"2001","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.682"
"2002","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.666"
"2003","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.645"
"2004","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.641"
"2005","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.632"
"2006","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.621"
"2007","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.617"
"2008","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.593"
"2009","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.594"
"2010","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.591"
"2011","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.588"
"2012","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.589"
"2013","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.594"
"2014","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.604"
"2015","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.601"
"2016","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.616"
"2017","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.612"
"2018","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.637"
"2019","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.626"
"2020","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.644"
"2021","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.64"
"2022","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.661"
"2023","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.695"
"2024","ARG","Índice de democracia liberal","Varieties of Democracy (V-Dem)","0.553"
"1789","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1790","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1791","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1792","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1793","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1794","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1795","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1796","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1797","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1798","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1799","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1800","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1801","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1802","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1803","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1804","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1805","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1806","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1807","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1808","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1809","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1810","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.104"
"1811","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1812","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1813","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1814","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1815","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1816","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1817","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1818","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1819","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1820","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1821","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1822","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1823","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1824","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1825","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1826","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1827","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1828","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1829","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1830","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1831","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
