geocodigoFundar,geonombreFundar,anio,sector,valor_en_mtco2e
AR-A,Salta,2010,AGSyOUT,13.96
AR-A,Salta,2011,AGSyOUT,14.35
AR-A,Salta,2012,AGSyOUT,33.51
AR-A,Salta,2013,AGSyOUT,33.67
AR-A,Salta,2014,AGSyOUT,18.96
AR-A,Salta,2015,AGSyOUT,13.54
AR-A,Salta,2016,AGSyOUT,9.94
AR-A,Salta,2017,AGSyOUT,8.79
AR-A,Salta,2018,AGSyOUT,8.31
AR-A,Salta,2010,Residuos,0.25
AR-A,Salta,2011,Residuos,0.26
AR-A,Salta,2012,Residuos,0.27
AR-A,Salta,2013,Residuos,0.28
AR-A,Salta,2014,Residuos,0.29
AR-A,Salta,2015,Residuos,0.3
AR-A,Salta,2016,Residuos,0.31
AR-A,Salta,2017,Residuos,0.32
AR-A,Salta,2018,Residuos,0.32
AR-J,San Juan,2010,Energía,1.34
AR-J,San Juan,2011,Energía,1.59
AR-J,San Juan,2012,Energía,1.61
AR-J,San Juan,2013,Energía,1.63
AR-J,San Juan,2014,Energía,1.54
AR-J,San Juan,2015,Energía,1.59
AR-J,San Juan,2016,Energía,1.45
AR-J,San Juan,2017,Energía,1.5
AR-J,San Juan,2018,Energía,1.51
AR-J,San Juan,2010,PIUP,0.24
AR-J,San Juan,2011,PIUP,0.25
AR-J,San Juan,2012,PIUP,0.26
AR-J,San Juan,2013,PIUP,0.27
AR-J,San Juan,2014,PIUP,0.28
AR-J,San Juan,2015,PIUP,0.29
AR-J,San Juan,2016,PIUP,0.27
AR-J,San Juan,2017,PIUP,0.12
AR-J,San Juan,2018,PIUP,0.15
AR-J,San Juan,2010,AGSyOUT,0.0
AR-J,San Juan,2011,AGSyOUT,0.12
AR-J,San Juan,2012,AGSyOUT,0.01
AR-J,San Juan,2013,AGSyOUT,0.0
AR-J,San Juan,2014,AGSyOUT,0.0
AR-J,San Juan,2015,AGSyOUT,0.07
AR-J,San Juan,2016,AGSyOUT,0.09
AR-J,San Juan,2017,AGSyOUT,0.1
AR-J,San Juan,2018,AGSyOUT,0.12
AR-J,San Juan,2010,Residuos,0.15
AR-J,San Juan,2011,Residuos,0.16
AR-J,San Juan,2012,Residuos,0.16
AR-J,San Juan,2013,Residuos,0.17
AR-J,San Juan,2014,Residuos,0.17
AR-J,San Juan,2015,Residuos,0.18
AR-J,San Juan,2016,Residuos,0.18
AR-J,San Juan,2017,Residuos,0.19
AR-J,San Juan,2018,Residuos,0.19
AR-D,San Luis,2010,Energía,1.02
AR-D,San Luis,2011,Energía,1.05
AR-D,San Luis,2012,Energía,1.09
AR-D,San Luis,2013,Energía,1.25
AR-D,San Luis,2014,Energía,1.11
AR-D,San Luis,2015,Energía,1.17
AR-D,San Luis,2016,Energía,1.13
AR-D,San Luis,2017,Energía,1.11
AR-D,San Luis,2018,Energía,1.09
AR-D,San Luis,2010,PIUP,0.06
AR-D,San Luis,2011,PIUP,0.01
AR-D,San Luis,2012,PIUP,0.0
AR-D,San Luis,2013,PIUP,0.23
AR-D,San Luis,2014,PIUP,0.8
AR-D,San Luis,2015,PIUP,0.86
AR-D,San Luis,2016,PIUP,0.61
AR-D,San Luis,2017,PIUP,0.64
AR-D,San Luis,2018,PIUP,0.42
AR-D,San Luis,2010,AGSyOUT,5.51
AR-D,San Luis,2011,AGSyOUT,4.25
AR-D,San Luis,2012,AGSyOUT,4.52
AR-D,San Luis,2013,AGSyOUT,1.91
AR-D,San Luis,2014,AGSyOUT,6.26
AR-D,San Luis,2015,AGSyOUT,3.85
AR-D,San Luis,2016,AGSyOUT,3.96
AR-D,San Luis,2017,AGSyOUT,8.32
AR-D,San Luis,2018,AGSyOUT,7.56
AR-D,San Luis,2010,Residuos,0.09
AR-D,San Luis,2011,Residuos,0.1
AR-D,San Luis,2012,Residuos,0.1
AR-D,San Luis,2013,Residuos,0.1
AR-D,San Luis,2014,Residuos,0.11
AR-D,San Luis,2015,Residuos,0.11
AR-D,San Luis,2016,Residuos,0.12
AR-D,San Luis,2017,Residuos,0.12
AR-D,San Luis,2018,Residuos,0.13
AR-Z,Santa Cruz,2010,Energía,6.39
AR-Z,Santa Cruz,2011,Energía,6.12
AR-Z,Santa Cruz,2012,Energía,6.36
AR-Z,Santa Cruz,2013,Energía,6.47
AR-Z,Santa Cruz,2014,Energía,6.57
AR-Z,Santa Cruz,2015,Energía,6.64
AR-Z,Santa Cruz,2016,Energía,6.51
AR-Z,Santa Cruz,2017,Energía,6.3
AR-Z,Santa Cruz,2018,Energía,6.15
AR-Z,Santa Cruz,2010,PIUP,0.01
AR-Z,Santa Cruz,2011,PIUP,0.01
AR-Z,Santa Cruz,2012,PIUP,0.01
AR-Z,Santa Cruz,2013,PIUP,0.01
AR-Z,Santa Cruz,2014,PIUP,0.0
AR-Z,Santa Cruz,2015,PIUP,0.0
AR-Z,Santa Cruz,2016,PIUP,0.0
AR-Z,Santa Cruz,2017,PIUP,0.0
AR-Z,Santa Cruz,2018,PIUP,0.0
AR-Z,Santa Cruz,2010,AGSyOUT,0.79
AR-Z,Santa Cruz,2011,AGSyOUT,0.76
AR-Z,Santa Cruz,2012,AGSyOUT,0.83
AR-Z,Santa Cruz,2013,AGSyOUT,0.75
AR-Z,Santa Cruz,2014,AGSyOUT,0.74
AR-Z,Santa Cruz,2015,AGSyOUT,0.76
AR-Z,Santa Cruz,2016,AGSyOUT,0.76
AR-Z,Santa Cruz,2017,AGSyOUT,0.73
AR-Z,Santa Cruz,2018,AGSyOUT,0.75
AR-Z,Santa Cruz,2010,Residuos,0.05
AR-Z,Santa Cruz,2011,Residuos,0.05
AR-Z,Santa Cruz,2012,Residuos,0.06
AR-Z,Santa Cruz,2013,Residuos,0.06
AR-Z,Santa Cruz,2014,Residuos,0.06
AR-Z,Santa Cruz,2015,Residuos,0.06
AR-Z,Santa Cruz,2016,Residuos,0.07
AR-Z,Santa Cruz,2017,Residuos,0.07
AR-Z,Santa Cruz,2018,Residuos,0.07
AR-S,Santa Fe,2010,Energía,11.84
AR-S,Santa Fe,2011,Energía,13.42
AR-S,Santa Fe,2012,Energía,13.15
AR-S,Santa Fe,2013,Energía,13.54
AR-S,Santa Fe,2014,Energía,13.13
AR-S,Santa Fe,2015,Energía,14.11
AR-S,Santa Fe,2016,Energía,14.92
AR-S,Santa Fe,2017,Energía,13.96
AR-S,Santa Fe,2018,Energía,14.2
AR-S,Santa Fe,2010,PIUP,0.02
AR-S,Santa Fe,2011,PIUP,0.02
AR-S,Santa Fe,2012,PIUP,0.02
AR-S,Santa Fe,2013,PIUP,0.02
AR-S,Santa Fe,2014,PIUP,0.02
AR-S,Santa Fe,2015,PIUP,0.02
AR-S,Santa Fe,2016,PIUP,0.02
AR-S,Santa Fe,2017,PIUP,0.02
AR-S,Santa Fe,2018,PIUP,0.01
AR-S,Santa Fe,2010,AGSyOUT,11.84
AR-S,Santa Fe,2011,AGSyOUT,12.55
AR-S,Santa Fe,2012,AGSyOUT,13.56
AR-S,Santa Fe,2013,AGSyOUT,15.03
AR-S,Santa Fe,2014,AGSyOUT,14.45
AR-S,Santa Fe,2015,AGSyOUT,13.07
AR-S,Santa Fe,2016,AGSyOUT,12.39
AR-S,Santa Fe,2017,AGSyOUT,12.02
AR-S,Santa Fe,2018,AGSyOUT,11.47
AR-S,Santa Fe,2010,Residuos,0.94
AR-S,Santa Fe,2011,Residuos,0.95
AR-S,Santa Fe,2012,Residuos,0.99
AR-S,Santa Fe,2013,Residuos,1.02
AR-S,Santa Fe,2014,Residuos,1.05
AR-S,Santa Fe,2015,Residuos,1.09
AR-S,Santa Fe,2016,Residuos,1.17
AR-S,Santa Fe,2017,Residuos,1.2
AR-S,Santa Fe,2018,Residuos,1.23
AR-G,Santiago del Estero,2010,Energía,1.0
AR-G,Santiago del Estero,2011,Energía,1.0
AR-G,Santiago del Estero,2012,Energía,0.99
AR-G,Santiago del Estero,2013,Energía,1.0
AR-G,Santiago del Estero,2014,Energía,1.01
AR-G,Santiago del Estero,2015,Energía,1.06
AR-G,Santiago del Estero,2016,Energía,1.14
AR-G,Santiago del Estero,2017,Energía,1.22
AR-G,Santiago del Estero,2018,Energía,1.2
AR-G,Santiago del Estero,2010,PIUP,0.0
AR-G,Santiago del Estero,2011,PIUP,0.0
AR-G,Santiago del Estero,2012,PIUP,0.0
AR-G,Santiago del Estero,2013,PIUP,0.0
AR-G,Santiago del Estero,2014,PIUP,0.0
AR-G,Santiago del Estero,2015,PIUP,0.01
AR-G,Santiago del Estero,2016,PIUP,0.0
AR-G,Santiago del Estero,2017,PIUP,0.01
AR-G,Santiago del Estero,2018,PIUP,0.0
AR-G,Santiago del Estero,2010,AGSyOUT,26.51
AR-G,Santiago del Estero,2011,AGSyOUT,29.45
AR-G,Santiago del Estero,2012,AGSyOUT,29.14
AR-G,Santiago del Estero,2013,AGSyOUT,30.12
AR-G,Santiago del Estero,2014,AGSyOUT,21.13
AR-G,Santiago del Estero,2015,AGSyOUT,17.48
AR-G,Santiago del Estero,2016,AGSyOUT,14.97
AR-G,Santiago del Estero,2017,AGSyOUT,18.72
AR-G,Santiago del Estero,2018,AGSyOUT,15.18
AR-G,Santiago del Estero,2010,Residuos,0.16
AR-G,Santiago del Estero,2011,Residuos,0.16
AR-G,Santiago del Estero,2012,Residuos,0.17
AR-G,Santiago del Estero,2013,Residuos,0.17
AR-G,Santiago del Estero,2014,Residuos,0.17
AR-G,Santiago del Estero,2015,Residuos,0.18
AR-G,Santiago del Estero,2016,Residuos,0.18
AR-G,Santiago del Estero,2017,Residuos,0.19
AR-G,Santiago del Estero,2018,Residuos,0.19
AR-T,Tucumán,2010,Energía,4.07
AR-T,Tucumán,2011,Energía,4.48
AR-T,Tucumán,2012,Energía,4.6
AR-T,Tucumán,2013,Energía,4.55
AR-T,Tucumán,2014,Energía,4.85
AR-T,Tucumán,2015,Energía,5.28
AR-T,Tucumán,2016,Energía,5.08
AR-T,Tucumán,2017,Energía,4.93
AR-T,Tucumán,2018,Energía,5.05
AR-T,Tucumán,2010,PIUP,0.01
AR-T,Tucumán,2011,PIUP,0.01
AR-T,Tucumán,2012,PIUP,0.01
AR-T,Tucumán,2013,PIUP,0.01
AR-T,Tucumán,2014,PIUP,0.01
AR-T,Tucumán,2015,PIUP,0.0
AR-T,Tucumán,2016,PIUP,0.0
AR-T,Tucumán,2017,PIUP,0.0
AR-T,Tucumán,2018,PIUP,0.0
AR-T,Tucumán,2010,AGSyOUT,2.61
AR-T,Tucumán,2011,AGSyOUT,2.17
AR-T,Tucumán,2012,AGSyOUT,2.87
AR-T,Tucumán,2013,AGSyOUT,2.59
AR-T,Tucumán,2014,AGSyOUT,2.28
AR-T,Tucumán,2015,AGSyOUT,2.07
AR-T,Tucumán,2016,AGSyOUT,1.38
AR-T,Tucumán,2017,AGSyOUT,1.52
AR-T,Tucumán,2018,AGSyOUT,1.05
AR-T,Tucumán,2010,Residuos,0.4
AR-T,Tucumán,2011,Residuos,0.42
AR-T,Tucumán,2012,Residuos,0.44
AR-T,Tucumán,2013,Residuos,0.46
AR-T,Tucumán,2014,Residuos,0.48
AR-T,Tucumán,2015,Residuos,0.49
AR-T,Tucumán,2016,Residuos,0.51
AR-T,Tucumán,2017,Residuos,0.52
AR-T,Tucumán,2018,Residuos,0.53
AR-V,Tierra del Fuego,2010,Energía,2.77
AR-V,Tierra del Fuego,2011,Energía,2.71
AR-V,Tierra del Fuego,2012,Energía,2.82
AR-V,Tierra del Fuego,2013,Energía,2.7
AR-V,Tierra del Fuego,2014,Energía,2.77
AR-V,Tierra del Fuego,2015,Energía,2.73
AR-V,Tierra del Fuego,2016,Energía,2.86
AR-V,Tierra del Fuego,2017,Energía,3.05
AR-V,Tierra del Fuego,2018,Energía,2.9
AR-V,Tierra del Fuego,2010,PIUP,0.0
AR-V,Tierra del Fuego,2011,PIUP,0.0
AR-V,Tierra del Fuego,2012,PIUP,0.0
AR-V,Tierra del Fuego,2013,PIUP,0.0
AR-V,Tierra del Fuego,2014,PIUP,0.0
AR-V,Tierra del Fuego,2015,PIUP,0.0
AR-V,Tierra del Fuego,2016,PIUP,0.0
AR-V,Tierra del Fuego,2017,PIUP,0.0
AR-V,Tierra del Fuego,2018,PIUP,0.0
AR-V,Tierra del Fuego,2010,AGSyOUT,2.22
AR-V,Tierra del Fuego,2011,AGSyOUT,2.19
AR-V,Tierra del Fuego,2012,AGSyOUT,2.18
AR-V,Tierra del Fuego,2013,AGSyOUT,2.17
AR-V,Tierra del Fuego,2014,AGSyOUT,0.3
AR-V,Tierra del Fuego,2015,AGSyOUT,0.29
AR-V,Tierra del Fuego,2016,AGSyOUT,0.38
AR-V,Tierra del Fuego,2017,AGSyOUT,0.25
AR-V,Tierra del Fuego,2018,AGSyOUT,0.2
AR-V,Tierra del Fuego,2010,Residuos,0.03
AR-V,Tierra del Fuego,2011,Residuos,0.03
AR-V,Tierra del Fuego,2012,Residuos,0.03
AR-V,Tierra del Fuego,2013,Residuos,0.03
AR-V,Tierra del Fuego,2014,Residuos,0.03
AR-V,Tierra del Fuego,2015,Residuos,0.03
AR-V,Tierra del Fuego,2016,Residuos,0.03
AR-V,Tierra del Fuego,2017,Residuos,0.03
AR-V,Tierra del Fuego,2018,Residuos,0.04
