"geocodigoFundar","tipo_idh","metrica","valor","geonombreFundar"
"UGA","IDH-P","Ranking","122","Uganda"
"UKR","IDH","Índice","0.734","Ucrania"
"UKR","IDH-P","Índice","0.685","Ucrania"
"UKR","IDH","Ranking","81","Ucrania"
"UKR","IDH-P","Ranking","78","Ucrania"
"URY","IDH","Índice","0.83","Uruguay"
"URY","IDH-P","Índice","0.784","Uruguay"
"URY","IDH","Ranking","46","Uruguay"
"URY","IDH-P","Ranking","25","Uruguay"
"USA","IDH","Índice","0.927","Estados Unidos"
"USA","IDH-P","Índice","0.74","Estados Unidos"
"USA","IDH","Ranking","19","Estados Unidos"
"USA","IDH-P","Ranking","49","Estados Unidos"
"UZB","IDH","Índice","0.727","Uzbekistán"
"UZB","IDH-P","Índice","0.696","Uzbekistán"
"UZB","IDH","Ranking","85","Uzbekistán"
"UZB","IDH-P","Ranking","69","Uzbekistán"
"VEN","IDH","Índice","0.699","Venezuela"
"VEN","IDH-P","Índice","0.664","Venezuela"
"VEN","IDH","Ranking","96","Venezuela"
"VEN","IDH-P","Ranking","92","Venezuela"
"VNM","IDH","Índice","0.726","Vietnam"
"VNM","IDH-P","Índice","0.681","Vietnam"
"VNM","IDH","Ranking","86","Vietnam"
"VNM","IDH-P","Ranking","81","Vietnam"
"YEM","IDH","Índice","0.424","Yemen"
"YEM","IDH-P","Índice","0.42","Yemen"
"YEM","IDH","Ranking","147","Yemen"
"YEM","IDH-P","Ranking","147","Yemen"
"ZAF","IDH","Índice","0.717","Sudáfrica"
"ZAF","IDH-P","Índice","0.667","Sudáfrica"
"ZAF","IDH","Ranking","88","Sudáfrica"
"ZAF","IDH-P","Ranking","90","Sudáfrica"
"ZMB","IDH","Índice","0.569","Zambia"
"ZMB","IDH-P","Índice","0.561","Zambia"
"ZMB","IDH","Ranking","120","Zambia"
"ZMB","IDH-P","Ranking","119","Zambia"
"ZWE","IDH","Índice","0.55","Zimbabwe"
"ZWE","IDH-P","Índice","0.541","Zimbabwe"
"ZWE","IDH","Ranking","124","Zimbabwe"
"ZWE","IDH-P","Ranking","125","Zimbabwe"
