geocodigoFundar,geonombreFundar,anio,idha_subdimension,valor
ARE,Emiratos Árabes Unidos,2005,Total,0.3047807274001578
ARE,Emiratos Árabes Unidos,2010,Años de escolarización,0.3426915748145503
ARE,Emiratos Árabes Unidos,2010,Democracia liberal,0.08
ARE,Emiratos Árabes Unidos,2010,PIB per cápita,0.6954447865803386
ARE,Emiratos Árabes Unidos,2010,Esperanza de vida,0.545539294292452
ARE,Emiratos Árabes Unidos,2010,Total,0.3193526519144959
ARE,Emiratos Árabes Unidos,2015,Años de escolarización,0.37048874073879
ARE,Emiratos Árabes Unidos,2015,Democracia liberal,0.088
ARE,Emiratos Árabes Unidos,2015,PIB per cápita,0.7174063785228704
ARE,Emiratos Árabes Unidos,2015,Esperanza de vida,0.5798545312738361
ARE,Emiratos Árabes Unidos,2015,Total,0.3412600843890518
ARE,Emiratos Árabes Unidos,2020,Años de escolarización,0.6914748868847862
ARE,Emiratos Árabes Unidos,2020,Democracia liberal,0.089
ARE,Emiratos Árabes Unidos,2020,PIB per cápita,0.7124302650979717
ARE,Emiratos Árabes Unidos,2020,Esperanza de vida,0.5686148296847736
ARE,Emiratos Árabes Unidos,2020,Total,0.397357798020182
ARG,Argentina,1870,Años de escolarización,0.0388517090413275
ARG,Argentina,1870,Democracia liberal,0.285
ARG,Argentina,1870,PIB per cápita,0.4464658197142566
ARG,Argentina,1870,Esperanza de vida,0.0481385279878521
ARG,Argentina,1870,Total,0.1242035480979203
ARG,Argentina,1880,Años de escolarización,0.042811150528738
ARG,Argentina,1880,Democracia liberal,0.286
ARG,Argentina,1880,PIB per cápita,0.4593280631079989
ARG,Argentina,1880,Esperanza de vida,0.0529951599679553
ARG,Argentina,1880,Total,0.1313924860686982
ARG,Argentina,1890,Años de escolarización,0.0468135071657526
ARG,Argentina,1890,Democracia liberal,0.284
ARG,Argentina,1890,PIB per cápita,0.5589601711926345
ARG,Argentina,1890,Esperanza de vida,0.0699008156868009
ARG,Argentina,1890,Total,0.1509691314268987
ARG,Argentina,1900,Años de escolarización,0.0563245732756863
ARG,Argentina,1900,Democracia liberal,0.282
ARG,Argentina,1900,PIB per cápita,0.5460003408770336
ARG,Argentina,1900,Esperanza de vida,0.0828255384688315
ARG,Argentina,1900,Total,0.1637103172360898
ARG,Argentina,1913,Años de escolarización,0.0680946471831373
ARG,Argentina,1913,Democracia liberal,0.324
ARG,Argentina,1913,PIB per cápita,0.5980105145999056
ARG,Argentina,1913,Esperanza de vida,0.1207377952142094
ARG,Argentina,1913,Total,0.1997802311691575
ARG,Argentina,1925,Años de escolarización,0.0929776909978253
ARG,Argentina,1925,Democracia liberal,0.394
ARG,Argentina,1925,PIB per cápita,0.6031961227470536
ARG,Argentina,1925,Esperanza de vida,0.1456432381374845
ARG,Argentina,1925,Total,0.2381803677707674
ARG,Argentina,1929,Años de escolarización,0.1046599808540412
ARG,Argentina,1929,Democracia liberal,0.4
ARG,Argentina,1929,PIB per cápita,0.6207825146595531
ARG,Argentina,1929,Esperanza de vida,0.1559636150491787
ARG,Argentina,1929,Total,0.2523195217337575
ARG,Argentina,1933,Años de escolarización,0.1183517586800443
ARG,Argentina,1933,Democracia liberal,0.224
ARG,Argentina,1933,PIB per cápita,0.590363285824725
ARG,Argentina,1933,Esperanza de vida,0.167090295246935
ARG,Argentina,1933,Total,0.2261378847055227
ARG,Argentina,1938,Años de escolarización,0.1314278919696746
ARG,Argentina,1938,Democracia liberal,0.224
ARG,Argentina,1938,PIB per cápita,0.6092565289356976
ARG,Argentina,1938,Esperanza de vida,0.1822972030000781
ARG,Argentina,1938,Total,0.2391271784096613
ARG,Argentina,1950,Años de escolarización,0.164877097730473
ARG,Argentina,1950,Democracia liberal,0.218
ARG,Argentina,1950,PIB per cápita,0.6423030915970023
ARG,Argentina,1950,Esperanza de vida,0.2541383662066853
ARG,Argentina,1950,Total,0.2767621963412397
ARG,Argentina,1955,Años de escolarización,0.1775157060197231
ARG,Argentina,1955,Democracia liberal,0.173
ARG,Argentina,1955,PIB per cápita,0.6501369194833044
ARG,Argentina,1955,Esperanza de vida,0.2752730208783025
ARG,Argentina,1955,Total,0.2722781814630046
ARG,Argentina,1960,Años de escolarización,0.1960924989010081
ARG,Argentina,1960,Democracia liberal,0.34
ARG,Argentina,1960,PIB per cápita,0.6600124435342088
ARG,Argentina,1960,Esperanza de vida,0.2842723729398614
ARG,Argentina,1960,Total,0.3344311090678602
ARG,Argentina,1965,Años de escolarización,0.2073894848671741
ARG,Argentina,1965,Democracia liberal,0.398
ARG,Argentina,1965,PIB per cápita,0.6822050458919237
ARG,Argentina,1965,Esperanza de vida,0.2917925450678915
ARG,Argentina,1965,Total,0.3380711659208507
ARG,Argentina,1970,Años de escolarización,0.2239094571587923
ARG,Argentina,1970,Democracia liberal,0.086
ARG,Argentina,1970,PIB per cápita,0.7043667436456758
ARG,Argentina,1970,Esperanza de vida,0.3050687595312837
ARG,Argentina,1970,Total,0.2536248871480702
ARG,Argentina,1975,Años de escolarización,0.2454179886795022
ARG,Argentina,1975,Democracia liberal,0.314
ARG,Argentina,1975,PIB per cápita,0.7137028862191167
ARG,Argentina,1975,Esperanza de vida,0.3238016679049666
ARG,Argentina,1975,Total,0.3653071257987405
ARG,Argentina,1980,Años de escolarización,0.2634182658752495
ARG,Argentina,1980,Democracia liberal,0.048
ARG,Argentina,1980,PIB per cápita,0.719506208219285
ARG,Argentina,1980,Esperanza de vida,0.3438481478553819
ARG,Argentina,1980,Total,0.2364950688302423
ARG,Argentina,1985,Años de escolarización,0.2677024226621485
ARG,Argentina,1985,Democracia liberal,0.669
ARG,Argentina,1985,PIB per cápita,0.6909769087583526
ARG,Argentina,1985,Esperanza de vida,0.3618323343402099
ARG,Argentina,1985,Total,0.4600047665899788
ARG,Argentina,1990,Años de escolarización,0.2705198188376208
ARG,Argentina,1990,Democracia liberal,0.614
ARG,Argentina,1990,PIB per cápita,0.6767747136632779
ARG,Argentina,1990,Esperanza de vida,0.3815976455046552
ARG,Argentina,1990,Total,0.4550973611740822
ARG,Argentina,1995,Años de escolarización,0.2902462557526425
ARG,Argentina,1995,Democracia liberal,0.635
ARG,Argentina,1995,PIB per cápita,0.710793536757932
ARG,Argentina,1995,Esperanza de vida,0.4074013745647181
ARG,Argentina,1995,Total,0.4806473783461783
ARG,Argentina,2000,Años de escolarización,0.3014882798598547
ARG,Argentina,2000,Democracia liberal,0.66
ARG,Argentina,2000,PIB per cápita,0.7222346206653837
ARG,Argentina,2000,Esperanza de vida,0.4239633596667008
ARG,Argentina,2000,Total,0.496827068423104
ARG,Argentina,2005,Años de escolarización,0.3437439026229132
ARG,Argentina,2005,Democracia liberal,0.644
ARG,Argentina,2005,PIB per cápita,0.728930873806787
ARG,Argentina,2005,Esperanza de vida,0.4517499893773864
ARG,Argentina,2005,Total,0.519608613490738
ARG,Argentina,2010,Años de escolarización,0.3572991467690987
ARG,Argentina,2010,Democracia liberal,0.604
ARG,Argentina,2010,PIB per cápita,0.7592754166186407
ARG,Argentina,2010,Esperanza de vida,0.466322793706386
ARG,Argentina,2010,Total,0.525761432641915
ARG,Argentina,2015,Años de escolarización,0.3947687107098115
ARG,Argentina,2015,Democracia liberal,0.612
ARG,Argentina,2015,PIB per cápita,0.7627064938809657
ARG,Argentina,2015,Esperanza de vida,0.4947818840404616
ARG,Argentina,2015,Total,0.549498289499536
ARG,Argentina,2020,Años de escolarización,0.5019360509455649
ARG,Argentina,2020,Democracia liberal,0.659
ARG,Argentina,2020,PIB per cápita,0.7309887469295789
ARG,Argentina,2020,Esperanza de vida,0.4707864829135404
ARG,Argentina,2020,Total,0.5808541814563672
ARM,Armenia,1870,Años de escolarización,
ARM,Armenia,1870,Democracia liberal,
ARM,Armenia,1870,PIB per cápita,
ARM,Armenia,1870,Esperanza de vida,
ARM,Armenia,1870,Total,
ARM,Armenia,1880,Años de escolarización,
ARM,Armenia,1880,Democracia liberal,
ARM,Armenia,1880,PIB per cápita,
ARM,Armenia,1880,Esperanza de vida,
ARM,Armenia,1880,Total,
ARM,Armenia,1890,Años de escolarización,
ARM,Armenia,1890,Democracia liberal,
ARM,Armenia,1890,PIB per cápita,
ARM,Armenia,1890,Esperanza de vida,
ARM,Armenia,1890,Total,
ARM,Armenia,1900,Años de escolarización,
ARM,Armenia,1900,Democracia liberal,
ARM,Armenia,1900,PIB per cápita,
ARM,Armenia,1900,Esperanza de vida,
ARM,Armenia,1900,Total,
ARM,Armenia,1913,Años de escolarización,
ARM,Armenia,1913,Democracia liberal,
ARM,Armenia,1913,PIB per cápita,
ARM,Armenia,1913,Esperanza de vida,
ARM,Armenia,1913,Total,
ARM,Armenia,1925,Años de escolarización,
ARM,Armenia,1925,Democracia liberal,
ARM,Armenia,1925,PIB per cápita,
ARM,Armenia,1925,Esperanza de vida,
ARM,Armenia,1925,Total,
ARM,Armenia,1929,Años de escolarización,
ARM,Armenia,1929,Democracia liberal,
ARM,Armenia,1929,PIB per cápita,
ARM,Armenia,1929,Esperanza de vida,
ARM,Armenia,1929,Total,
ARM,Armenia,1933,Años de escolarización,
ARM,Armenia,1933,Democracia liberal,
ARM,Armenia,1933,PIB per cápita,
ARM,Armenia,1933,Esperanza de vida,
ARM,Armenia,1933,Total,
ARM,Armenia,1938,Años de escolarización,
ARM,Armenia,1938,Democracia liberal,
ARM,Armenia,1938,PIB per cápita,
ARM,Armenia,1938,Esperanza de vida,
ARM,Armenia,1938,Total,
ARM,Armenia,1950,Años de escolarización,
ARM,Armenia,1950,Democracia liberal,
ARM,Armenia,1950,PIB per cápita,
ARM,Armenia,1950,Esperanza de vida,
ARM,Armenia,1950,Total,
ARM,Armenia,1955,Años de escolarización,
ARM,Armenia,1955,Democracia liberal,
ARM,Armenia,1955,PIB per cápita,
ARM,Armenia,1955,Esperanza de vida,
ARM,Armenia,1955,Total,
ARM,Armenia,1960,Años de escolarización,
ARM,Armenia,1960,Democracia liberal,
ARM,Armenia,1960,PIB per cápita,
ARM,Armenia,1960,Esperanza de vida,
ARM,Armenia,1960,Total,
ARM,Armenia,1965,Años de escolarización,
ARM,Armenia,1965,Democracia liberal,
ARM,Armenia,1965,PIB per cápita,
ARM,Armenia,1965,Esperanza de vida,
ARM,Armenia,1965,Total,
ARM,Armenia,1970,Años de escolarización,
ARM,Armenia,1970,Democracia liberal,
ARM,Armenia,1970,PIB per cápita,
ARM,Armenia,1970,Esperanza de vida,
ARM,Armenia,1970,Total,
ARM,Armenia,1975,Años de escolarización,
ARM,Armenia,1975,Democracia liberal,
ARM,Armenia,1975,PIB per cápita,
ARM,Armenia,1975,Esperanza de vida,
ARM,Armenia,1975,Total,
ARM,Armenia,1980,Años de escolarización,0.3696416949992306
ARM,Armenia,1980,Democracia liberal,0.028
ARM,Armenia,1980,PIB per cápita,0.6607521905061591
ARM,Armenia,1980,Esperanza de vida,0.3666539643214137
ARM,Armenia,1980,Total,0.2237734178668889
ARM,Armenia,1985,Años de escolarización,0.4097788157189757
ARM,Armenia,1985,Democracia liberal,0.03
ARM,Armenia,1985,PIB per cápita,0.6804082431576088
ARM,Armenia,1985,Esperanza de vida,0.3466201340992922
ARM,Armenia,1985,Total,0.2320457013540415
ARM,Armenia,1990,Años de escolarización,0.4431160121401589
ARM,Armenia,1990,Democracia liberal,0.338
ARM,Armenia,1990,PIB per cápita,0.6672249696829325
ARM,Armenia,1990,Esperanza de vida,0.3331427809941995
ARM,Armenia,1990,Total,0.4271537371560915
ARM,Armenia,1995,Años de escolarización,0.4488918597239762
ARM,Armenia,1995,Democracia liberal,0.287
ARM,Armenia,1995,PIB per cápita,0.5750382374688072
ARM,Armenia,1995,Esperanza de vida,0.340508582562953
ARM,Armenia,1995,Total,0.398530994961391
ARM,Armenia,2000,Años de escolarización,0.4530566450648868
ARM,Armenia,2000,Democracia liberal,0.218
ARM,Armenia,2000,PIB per cápita,0.6144129286950146
ARM,Armenia,2000,Esperanza de vida,0.3614420989473315
ARM,Armenia,2000,Total,0.3848371767345576
ARM,Armenia,2005,Años de escolarización,0.4549065252180882
ARM,Armenia,2005,Democracia liberal,0.191
ARM,Armenia,2005,PIB per cápita,0.7114139245587673
ARM,Armenia,2005,Esperanza de vida,0.3817517644380594
ARM,Armenia,2005,Total,0.3919356218831674
ARM,Armenia,2010,Años de escolarización,0.471649730501369
ARM,Armenia,2010,Democracia liberal,0.194
ARM,Armenia,2010,PIB per cápita,0.7427861413064465
ARM,Armenia,2010,Esperanza de vida,0.4079349118380937
ARM,Armenia,2010,Total,0.4080552753970935
ARM,Armenia,2015,Años de escolarización,0.5159806058393858
ARM,Armenia,2015,Democracia liberal,0.211
ARM,Armenia,2015,PIB per cápita,0.7781488241246443
ARM,Armenia,2015,Esperanza de vida,0.4352602248287091
ARM,Armenia,2015,Total,0.4382095825288533
ARM,Armenia,2020,Años de escolarización,0.5199092600272753
ARM,Armenia,2020,Democracia liberal,0.604
ARM,Armenia,2020,PIB per cápita,0.7957971659910335
ARM,Armenia,2020,Esperanza de vida,0.3887600360611715
ARM,Armenia,2020,Total,0.5582929237660135
AUS,Australia,1870,Años de escolarización,0.0842510574748178
AUS,Australia,1870,Democracia liberal,0.517
AUS,Australia,1870,PIB per cápita,0.5669500466866692
AUS,Australia,1870,Esperanza de vida,0.1353388924236419
AUS,Australia,1870,Total,0.2404408913418885
AUS,Australia,1880,Años de escolarización,0.1196008556207401
AUS,Australia,1880,Democracia liberal,0.515
AUS,Australia,1880,PIB per cápita,0.6107376724293893
AUS,Australia,1880,Esperanza de vida,0.1416792461107797
AUS,Australia,1880,Total,0.2701939470527281
AUS,Australia,1890,Años de escolarización,0.1602129024245098
AUS,Australia,1890,Democracia liberal,0.518
AUS,Australia,1890,PIB per cápita,0.6171705348464419
AUS,Australia,1890,Esperanza de vida,0.1552387699993337
AUS,Australia,1890,Total,0.2986126187492655
AUS,Australia,1900,Años de escolarización,0.199034899911866
AUS,Australia,1900,Democracia liberal,0.5509999999999999
AUS,Australia,1900,PIB per cápita,0.6000787564616255
AUS,Australia,1900,Esperanza de vida,0.1850228193966534
AUS,Australia,1900,Total,0.332183911873708
AUS,Australia,1913,Años de escolarización,0.2349058837920545
AUS,Australia,1913,Democracia liberal,0.707
AUS,Australia,1913,PIB per cápita,0.6408437199712428
AUS,Australia,1913,Esperanza de vida,0.2193648830230031
AUS,Australia,1913,Total,0.3908932189801295
AUS,Australia,1925,Años de escolarización,0.2782885473533598
AUS,Australia,1925,Democracia liberal,0.726
AUS,Australia,1925,PIB per cápita,0.652868183061331
AUS,Australia,1925,Esperanza de vida,0.2613801807998191
AUS,Australia,1925,Total,0.430905986969338
AUS,Australia,1929,Años de escolarización,0.3020456676986178
AUS,Australia,1929,Democracia liberal,0.725
AUS,Australia,1929,PIB per cápita,0.644150574390635
AUS,Australia,1929,Esperanza de vida,0.260394577104725
AUS,Australia,1929,Total,0.4377815835417351
AUS,Australia,1933,Años de escolarización,0.3206074790422431
AUS,Australia,1933,Democracia liberal,0.728
AUS,Australia,1933,PIB per cápita,0.6305999535538905
AUS,Australia,1933,Esperanza de vida,0.2875606432456525
AUS,Australia,1933,Total,0.4535729040145021
AUS,Australia,1938,Años de escolarización,0.3340748984869565
AUS,Australia,1938,Democracia liberal,0.725
AUS,Australia,1938,PIB per cápita,0.6623336239380229
AUS,Australia,1938,Esperanza de vida,0.2916346150817273
AUS,Australia,1938,Total,0.4650765383762059
AUS,Australia,1950,Años de escolarización,0.3671469136499736
AUS,Australia,1950,Democracia liberal,0.747
AUS,Australia,1950,PIB per cápita,0.6998004976103103
AUS,Australia,1950,Esperanza de vida,0.3358094151362487
AUS,Australia,1950,Total,0.5038565396424634
AUS,Australia,1955,Años de escolarización,0.3860779179710547
AUS,Australia,1955,Democracia liberal,0.769
AUS,Australia,1955,PIB per cápita,0.7127558061994413
AUS,Australia,1955,Esperanza de vida,0.35367763199504
AUS,Australia,1955,Total,0.5230430251206099
AUS,Australia,1960,Años de escolarización,0.408649906089243
AUS,Australia,1960,Democracia liberal,0.778
AUS,Australia,1960,PIB per cápita,0.727532591772762
AUS,Australia,1960,Esperanza de vida,0.3655834915473365
AUS,Australia,1960,Total,0.5392529226263675
AUS,Australia,1965,Años de escolarización,0.416538304498989
AUS,Australia,1965,Democracia liberal,0.782
AUS,Australia,1965,PIB per cápita,0.7509274419450994
AUS,Australia,1965,Esperanza de vida,0.364399660821707
AUS,Australia,1965,Total,0.5463983879755557
AUS,Australia,1970,Años de escolarización,0.4588107925702801
AUS,Australia,1970,Democracia liberal,0.807
AUS,Australia,1970,PIB per cápita,0.7784329310400919
AUS,Australia,1970,Esperanza de vida,0.3618824105238742
AUS,Australia,1970,Total,0.5682951617702762
AUS,Australia,1975,Años de escolarización,0.5255326559164802
AUS,Australia,1975,Democracia liberal,0.818
AUS,Australia,1975,PIB per cápita,0.7932290985028643
AUS,Australia,1975,Esperanza de vida,0.4003733262136869
AUS,Australia,1975,Total,0.6078608824118841
AUS,Australia,1980,Años de escolarización,0.5882123639489977
AUS,Australia,1980,Democracia liberal,0.834
AUS,Australia,1980,PIB per cápita,0.8078761962401391
AUS,Australia,1980,Esperanza de vida,0.4383160647499529
AUS,Australia,1980,Total,0.6455919403598175
AUS,Australia,1985,Años de escolarización,0.6402682077996967
AUS,Australia,1985,Democracia liberal,0.847
AUS,Australia,1985,PIB per cápita,0.8211455288875249
AUS,Australia,1985,Esperanza de vida,0.4589306024015999
AUS,Australia,1985,Total,0.6723619447836724
AUS,Australia,1990,Años de escolarización,0.6972804155699733
AUS,Australia,1990,Democracia liberal,0.857
AUS,Australia,1990,PIB per cápita,0.83636389411571
AUS,Australia,1990,Esperanza de vida,0.5031872898218224
AUS,Australia,1990,Total,0.7081549691921234
AUS,Australia,1995,Años de escolarización,0.734329187720152
AUS,Australia,1995,Democracia liberal,0.853
AUS,Australia,1995,PIB per cápita,0.8498870837824551
AUS,Australia,1995,Esperanza de vida,0.5429801159485864
AUS,Australia,1995,Total,0.7332401611716842
AUS,Australia,2000,Años de escolarización,0.7422002288632482
AUS,Australia,2000,Democracia liberal,0.854
AUS,Australia,2000,PIB per cápita,0.8734601266616421
AUS,Australia,2000,Esperanza de vida,0.5973875474300798
AUS,Australia,2000,Total,0.7583497555245989
AUS,Australia,2005,Años de escolarización,0.7731655242880464
AUS,Australia,2005,Democracia liberal,0.846
AUS,Australia,2005,PIB per cápita,0.8903785310340849
AUS,Australia,2005,Esperanza de vida,0.6747449467629835
AUS,Australia,2005,Total,0.7917522222107434
AUS,Australia,2010,Años de escolarización,0.7708401094364769
AUS,Australia,2010,Democracia liberal,0.859
AUS,Australia,2010,PIB per cápita,0.8983397194185744
AUS,Australia,2010,Esperanza de vida,0.7412533271905672
AUS,Australia,2010,Total,0.8148753517598621
AUS,Australia,2015,Años de escolarización,0.7778751698296421
AUS,Australia,2015,Democracia liberal,0.844
AUS,Australia,2015,PIB per cápita,0.9075800800702214
AUS,Australia,2015,Esperanza de vida,0.7958502517099104
AUS,Australia,2015,Total,0.8298358006504303
AUS,Australia,2020,Años de escolarización,0.6967634734773238
AUS,Australia,2020,Democracia liberal,0.814
AUS,Australia,2020,PIB per cápita,0.9113269875670308
AUS,Australia,2020,Esperanza de vida,1.0
AUS,Australia,2020,Total,0.8479026702428611
AUT,Austria,1870,Años de escolarización,0.0886377286826996
AUT,Austria,1870,Democracia liberal,0.2
AUT,Austria,1870,PIB per cápita,0.503639007333585
AUT,Austria,1870,Esperanza de vida,0.0599934020037576
AUT,Austria,1870,Total,0.152131051106705
AUT,Austria,1880,Años de escolarización,0.0960666744073743
AUT,Austria,1880,Democracia liberal,0.222
AUT,Austria,1880,PIB per cápita,0.5087078241439564
AUT,Austria,1880,Esperanza de vida,0.0628509641066556
AUT,Austria,1880,Total,0.1615944806500955
AUT,Austria,1890,Años de escolarización,0.1125219927178596
AUT,Austria,1890,Democracia liberal,0.239
AUT,Austria,1890,PIB per cápita,0.5264379398979513
AUT,Austria,1890,Esperanza de vida,0.0741320466917478
AUT,Austria,1890,Total,0.1799894798116094
AUT,Austria,1900,Años de escolarización,0.1362027648166917
AUT,Austria,1900,Democracia liberal,0.237
AUT,Austria,1900,PIB per cápita,0.545272886340031
AUT,Austria,1900,Esperanza de vida,0.0989815097372133
AUT,Austria,1900,Total,0.2043033846468842
AUT,Austria,1913,Años de escolarización,0.1614687277510549
AUT,Austria,1913,Democracia liberal,0.242
AUT,Austria,1913,PIB per cápita,0.5762383236154495
AUT,Austria,1913,Esperanza de vida,0.1169060066657447
AUT,Austria,1913,Total,0.2265091176951675
AUT,Austria,1925,Años de escolarización,0.1865692950786926
AUT,Austria,1925,Democracia liberal,0.565
AUT,Austria,1925,PIB per cápita,0.5715491641490733
AUT,Austria,1925,Esperanza de vida,0.1538337447649249
AUT,Austria,1925,Total,0.310276194435535
AUT,Austria,1929,Años de escolarización,0.1835792765133104
AUT,Austria,1929,Democracia liberal,0.57
AUT,Austria,1929,PIB per cápita,0.5868157446590091
AUT,Austria,1929,Esperanza de vida,0.1975099887274342
AUT,Austria,1929,Total,0.3318542109917106
AUT,Austria,1933,Años de escolarización,0.1929054909530427
AUT,Austria,1933,Democracia liberal,0.17
AUT,Austria,1933,PIB per cápita,0.5434953043544228
AUT,Austria,1933,Esperanza de vida,0.1975099887274342
AUT,Austria,1933,Total,0.2435816639605079
AUT,Austria,1938,Años de escolarización,0.1986131187431447
AUT,Austria,1938,Democracia liberal,0.093
AUT,Austria,1938,PIB per cápita,0.5805881987970563
AUT,Austria,1938,Esperanza de vida,0.2194661966704202
AUT,Austria,1938,Total,0.2202579943440041
AUT,Austria,1950,Años de escolarización,0.2230076999998749
AUT,Austria,1950,Democracia liberal,0.629
AUT,Austria,1950,PIB per cápita,0.5871469814892104
AUT,Austria,1950,Esperanza de vida,0.2800889716205276
AUT,Austria,1950,Total,0.3897205765727469
AUT,Austria,1955,Años de escolarización,0.250239041655085
AUT,Austria,1955,Democracia liberal,0.633
AUT,Austria,1955,PIB per cápita,0.6375435924876205
AUT,Austria,1955,Esperanza de vida,0.3150277001683358
AUT,Austria,1955,Total,0.4223323524914638
AUT,Austria,1960,Años de escolarización,0.2746400219513266
AUT,Austria,1960,Democracia liberal,0.699
AUT,Austria,1960,PIB per cápita,0.6789236141307993
AUT,Austria,1960,Esperanza de vida,0.3319479186248609
AUT,Austria,1960,Total,0.4560715339851087
AUT,Austria,1965,Años de escolarización,0.3045643772418576
AUT,Austria,1965,Democracia liberal,0.696
AUT,Austria,1965,PIB per cápita,0.7067149342420058
AUT,Austria,1965,Esperanza de vida,0.3501546844487614
AUT,Austria,1965,Total,0.4785729401240261
AUT,Austria,1970,Años de escolarización,0.3371292531467449
AUT,Austria,1970,Democracia liberal,0.728
AUT,Austria,1970,PIB per cápita,0.7443180747348709
AUT,Austria,1970,Esperanza de vida,0.3527116786066187
AUT,Austria,1970,Total,0.503821336611058
AUT,Austria,1975,Años de escolarización,0.3714972148468845
AUT,Austria,1975,Democracia liberal,0.75
AUT,Austria,1975,PIB per cápita,0.7732471366236958
AUT,Austria,1975,Esperanza de vida,0.3735119715422952
AUT,Austria,1975,Total,0.5326107379889461
AUT,Austria,1980,Años de escolarización,0.4093951523019669
AUT,Austria,1980,Democracia liberal,0.76
AUT,Austria,1980,PIB per cápita,0.8003421410299983
AUT,Austria,1980,Esperanza de vida,0.3982265767979271
AUT,Austria,1980,Total,0.5611649705415234
AUT,Austria,1985,Años de escolarización,0.4330508290168224
AUT,Austria,1985,Democracia liberal,0.772
AUT,Austria,1985,PIB per cápita,0.8116706123417405
AUT,Austria,1985,Esperanza de vida,0.4253518431234194
AUT,Austria,1985,Total,0.5828691624336045
AUT,Austria,1990,Años de escolarización,0.4674389741847502
AUT,Austria,1990,Democracia liberal,0.783
AUT,Austria,1990,PIB per cápita,0.8337072071020184
AUT,Austria,1990,Esperanza de vida,0.4668086355281869
AUT,Austria,1990,Total,0.6143413955046184
AUT,Austria,1995,Años de escolarización,0.488545825829038
AUT,Austria,1995,Democracia liberal,0.785
AUT,Austria,1995,PIB per cápita,0.8459380216427362
AUT,Austria,1995,Esperanza de vida,0.4952591571827172
AUT,Austria,1995,Total,0.633120689384105
AUT,Austria,2000,Años de escolarización,0.5109326419197295
AUT,Austria,2000,Democracia liberal,0.791
AUT,Austria,2000,PIB per cápita,0.868853118516486
AUT,Austria,2000,Esperanza de vida,0.5420539889319439
AUT,Austria,2000,Total,0.6605143547515582
AUT,Austria,2005,Años de escolarización,0.5187289575776197
AUT,Austria,2005,Democracia liberal,0.792
AUT,Austria,2005,PIB per cápita,0.8783792284668149
AUT,Austria,2005,Esperanza de vida,0.5925335881453081
AUT,Austria,2005,Total,0.6800098073489123
AUT,Austria,2010,Años de escolarización,0.5373930040198376
AUT,Austria,2010,Democracia liberal,0.8
AUT,Austria,2010,PIB per cápita,0.886163181397497
AUT,Austria,2010,Esperanza de vida,0.6377960814570206
AUT,Austria,2010,Total,0.7020925843682082
AUT,Austria,2015,Años de escolarización,0.5202793014321941
AUT,Austria,2015,Democracia liberal,0.803
AUT,Austria,2015,PIB per cápita,0.8895141375828489
AUT,Austria,2015,Esperanza de vida,0.677646438293322
AUT,Austria,2015,Total,0.7083975119518958
AUT,Austria,2020,Años de escolarización,0.6273461957350499
AUT,Austria,2020,Democracia liberal,0.763
AUT,Austria,2020,PIB per cápita,0.8863601291970412
AUT,Austria,2020,Esperanza de vida,0.7001394966989997
AUT,Austria,2020,Total,0.738255428727118
AZE,Azerbaiyán,1870,Años de escolarización,
AZE,Azerbaiyán,1870,Democracia liberal,
AZE,Azerbaiyán,1870,PIB per cápita,
AZE,Azerbaiyán,1870,Esperanza de vida,
AZE,Azerbaiyán,1870,Total,
AZE,Azerbaiyán,1880,Años de escolarización,
AZE,Azerbaiyán,1880,Democracia liberal,
AZE,Azerbaiyán,1880,PIB per cápita,
AZE,Azerbaiyán,1880,Esperanza de vida,
AZE,Azerbaiyán,1880,Total,
AZE,Azerbaiyán,1890,Años de escolarización,
AZE,Azerbaiyán,1890,Democracia liberal,
AZE,Azerbaiyán,1890,PIB per cápita,
AZE,Azerbaiyán,1890,Esperanza de vida,
AZE,Azerbaiyán,1890,Total,
AZE,Azerbaiyán,1900,Años de escolarización,
AZE,Azerbaiyán,1900,Democracia liberal,
AZE,Azerbaiyán,1900,PIB per cápita,
AZE,Azerbaiyán,1900,Esperanza de vida,
AZE,Azerbaiyán,1900,Total,
AZE,Azerbaiyán,1913,Años de escolarización,
AZE,Azerbaiyán,1913,Democracia liberal,
AZE,Azerbaiyán,1913,PIB per cápita,
AZE,Azerbaiyán,1913,Esperanza de vida,
AZE,Azerbaiyán,1913,Total,
AZE,Azerbaiyán,1925,Años de escolarización,
AZE,Azerbaiyán,1925,Democracia liberal,
AZE,Azerbaiyán,1925,PIB per cápita,
AZE,Azerbaiyán,1925,Esperanza de vida,
AZE,Azerbaiyán,1925,Total,
AZE,Azerbaiyán,1929,Años de escolarización,
AZE,Azerbaiyán,1929,Democracia liberal,
AZE,Azerbaiyán,1929,PIB per cápita,
AZE,Azerbaiyán,1929,Esperanza de vida,
AZE,Azerbaiyán,1929,Total,
AZE,Azerbaiyán,1933,Años de escolarización,
AZE,Azerbaiyán,1933,Democracia liberal,
AZE,Azerbaiyán,1933,PIB per cápita,
AZE,Azerbaiyán,1933,Esperanza de vida,
AZE,Azerbaiyán,1933,Total,
AZE,Azerbaiyán,1938,Años de escolarización,
AZE,Azerbaiyán,1938,Democracia liberal,
AZE,Azerbaiyán,1938,PIB per cápita,
AZE,Azerbaiyán,1938,Esperanza de vida,
AZE,Azerbaiyán,1938,Total,
AZE,Azerbaiyán,1950,Años de escolarización,
AZE,Azerbaiyán,1950,Democracia liberal,
