"anio","geocodigoFundar","geonombreFundar","share_tourism_gdp"
"2014","MAR","Marruecos","6.69036"
"2015","MAR","Marruecos","6.44365"
"2016","MAR","Marruecos","6.59831"
"2017","MAR","Marruecos","6.81006"
"2018","MAR","Marruecos","6.93356"
"2019","MAR","Marruecos","7.06346"
"2008","MOZ","Mozambique","6.45"
"2010","MOZ","Mozambique","6.48"
"2015","MOZ","Mozambique","4.1"
"2017","MOZ","Mozambique","3.9"
"2018","MOZ","Mozambique","4.18"
"2019","MOZ","Mozambique","4.18"
"2020","MOZ","Mozambique","2.43"
"2021","MOZ","Mozambique","2.46"
"2022","MOZ","Mozambique","4"
"2023","MOZ","Mozambique","4.02"
"2008","OMN","Omán","2.34607"
"2009","OMN","Omán","2.64871"
"2010","OMN","Omán","2.41562"
"2011","OMN","Omán","2.11529"
"2012","OMN","Omán","2.16009"
"2013","OMN","Omán","2.25063"
"2014","OMN","Omán","2.26724"
"2015","OMN","Omán","2.70296"
"2016","OMN","Omán","2.74429"
"2017","OMN","Omán","2.65654"
"2018","OMN","Omán","2.66233"
"2019","OMN","Omán","2.89567"
"2020","OMN","Omán","2.51083"
"2021","OMN","Omán","2.37241"
"2022","OMN","Omán","2.42779"
"2009","NAM","Namibia","2.7"
"2010","NAM","Namibia","2.6"
"2011","NAM","Namibia","2.9"
"2012","NAM","Namibia","2.9"
"2013","NAM","Namibia","3"
"2014","NAM","Namibia","3"
"2015","NAM","Namibia","3.3"
"2016","NAM","Namibia","3"
"2017","NAM","Namibia","2.9"
"2018","NAM","Namibia","1.9"
"2019","NAM","Namibia","2"
"2020","NAM","Namibia","5.6"
"2021","NAM","Namibia","2"
"2010","NPL","Nepal","1.56846"
"2011","NPL","Nepal","1.64109"
"2012","NPL","Nepal","1.78415"
"2013","NPL","Nepal","1.75738"
"2014","NPL","Nepal","1.89415"
"2015","NPL","Nepal","1.77426"
"2016","NPL","Nepal","1.8247"
"2017","NPL","Nepal","1.94781"
"2018","NPL","Nepal","1.96039"
"2019","NPL","Nepal","1.2839"
"2020","NPL","Nepal","1.36355"
"2021","NPL","Nepal","1.6"
"2010","NLD","Países Bajos","3.1"
"2011","NLD","Países Bajos","3.1"
"2012","NLD","Países Bajos","3.2"
"2013","NLD","Países Bajos","3.4"
"2014","NLD","Países Bajos","3.6"
"2015","NLD","Países Bajos","3.9"
"2016","NLD","Países Bajos","4.1"
"2017","NLD","Países Bajos","4.2"
"2018","NLD","Países Bajos","4.3"
"2019","NLD","Países Bajos","4.3"
"2020","NLD","Países Bajos","2.3"
"2021","NLD","Países Bajos","2.4"
"2022","NLD","Países Bajos","3.5"
"2023","NLD","Países Bajos","3.8"
"2013","ABW","Aruba","19.9"
"2014","ABW","Aruba","21.1"
"2015","ABW","Aruba","21.6"
"2016","ABW","Aruba","21.2"
"2017","ABW","Aruba","21.2"
"2008","NZL","Nueva Zelanda","5.7"
"2009","NZL","Nueva Zelanda","5.2"
"2010","NZL","Nueva Zelanda","5.2"
"2011","NZL","Nueva Zelanda","5.1"
"2012","NZL","Nueva Zelanda","5.1"
"2013","NZL","Nueva Zelanda","5.1"
"2014","NZL","Nueva Zelanda","5"
"2015","NZL","Nueva Zelanda","5.6"
"2016","NZL","Nueva Zelanda","6.2"
"2017","NZL","Nueva Zelanda","5.8"
"2018","NZL","Nueva Zelanda","5.8"
"2019","NZL","Nueva Zelanda","5.6"
"2020","NZL","Nueva Zelanda","5.4"
"2021","NZL","Nueva Zelanda","3.4"
"2022","NZL","Nueva Zelanda","3.1"
"2023","NZL","Nueva Zelanda","3.7"
"2010","NGA","Nigeria","4.38"
"2011","NGA","Nigeria","4.38"
"2012","NGA","Nigeria","4.5"
"2013","NGA","Nigeria","5.01"
"2014","NGA","Nigeria","5.24"
"2015","NGA","Nigeria","5.56"
"2016","NGA","Nigeria","5.7"
"2017","NGA","Nigeria","5.46"
"2018","NGA","Nigeria","5.44"
"2019","NGA","Nigeria","5.58"
"2020","NGA","Nigeria","4.29"
"2008","NOR","Noruega","3.3"
"2009","NOR","Noruega","3.7"
"2010","NOR","Noruega","3.6"
"2011","NOR","Noruega","3.7"
"2012","NOR","Noruega","3.7"
"2013","NOR","Noruega","3.7"
"2014","NOR","Noruega","3.7"
"2015","NOR","Noruega","4"
"2016","NOR","Noruega","4.3"
"2017","NOR","Noruega","4.1"
"2018","NOR","Noruega","3.8"
"2019","NOR","Noruega","4"
"2020","NOR","Noruega","3"
"2021","NOR","Noruega","2.5"
"2008","FSM","Micronesia","1.9007"
"2009","FSM","Micronesia","1.67777"
"2010","FSM","Micronesia","1.70253"
"2011","FSM","Micronesia","1.62598"
"2012","FSM","Micronesia","1.6569"
"2013","FSM","Micronesia","1.66103"
"2014","FSM","Micronesia","1.6353"
"2015","FSM","Micronesia","1.69541"
"2016","FSM","Micronesia","1.71714"
"2017","FSM","Micronesia","1.78008"
"2018","FSM","Micronesia","1.78827"
"2008","MHL","Islas Marshall","2.6"
"2009","MHL","Islas Marshall","2.5"
"2010","MHL","Islas Marshall","2.3"
"2011","MHL","Islas Marshall","2.2"
"2012","MHL","Islas Marshall","2.1"
"2013","MHL","Islas Marshall","1.9"
"2014","MHL","Islas Marshall","2.1"
"2015","MHL","Islas Marshall","2.2"
"2016","MHL","Islas Marshall","2.3"
"2017","MHL","Islas Marshall","2.3"
"2018","MHL","Islas Marshall","2.3"
"2019","MHL","Islas Marshall","2.5"
"2020","MHL","Islas Marshall","2"
"2021","MHL","Islas Marshall","1.8"
"2008","PLW","Palau","17.47299"
"2009","PLW","Palau","17.89294"
"2010","PLW","Palau","18.6892"
"2011","PLW","Palau","21.52718"
"2012","PLW","Palau","23.51177"
"2013","PLW","Palau","24.82607"
"2014","PLW","Palau","25.70048"
"2015","PLW","Palau","26.39814"
"2016","PLW","Palau","24.65382"
"2017","PLW","Palau","21.92255"
"2018","PLW","Palau","19.97486"
"2019","PLW","Palau","18.1375"
"2020","PLW","Palau","9.75938"
"2008","PAN","Panamá","8.8"
"2009","PAN","Panamá","8.4"
"2010","PAN","Panamá","8.9"
"2011","PAN","Panamá","10.4"
"2012","PAN","Panamá","11.3"
"2013","PAN","Panamá","11.9"
"2014","PAN","Panamá","11.5"
"2015","PAN","Panamá","10.6"
"2016","PAN","Panamá","10.8"
"2017","PAN","Panamá","10.9"
"2018","PAN","Panamá","10.6"
"2019","PAN","Panamá","10.1"
"2020","PAN","Panamá","3.2"
"2021","PAN","Panamá","5.4"
"2022","PAN","Panamá","10"
"2023","PAN","Panamá","10.8"
"2008","PRY","Paraguay","0.4"
"2009","PRY","Paraguay","0.9"
"2010","PRY","Paraguay","0.8"
"2011","PRY","Paraguay","0.7"
"2012","PRY","Paraguay","0.7"
"2013","PRY","Paraguay","0.7"
"2014","PRY","Paraguay","0.7"
"2015","PRY","Paraguay","1.3"
"2016","PRY","Paraguay","1.3"
"2017","PRY","Paraguay","1.5"
"2018","PRY","Paraguay","2.28"
"2019","PRY","Paraguay","2.46"
"2020","PRY","Paraguay","0.56"
"2021","PRY","Paraguay","0.21"
"2022","PRY","Paraguay","1.09"
"2011","PER","Perú","3.55004"
"2012","PER","Perú","3.61261"
"2013","PER","Perú","3.7077"
"2014","PER","Perú","3.7845"
"2015","PER","Perú","3.86195"
"2016","PER","Perú","3.85807"
"2017","PER","Perú","3.85993"
"2018","PER","Perú","3.86024"
"2019","PER","Perú","3.86307"
"2020","PER","Perú","1.52192"
"2021","PER","Perú","1.67638"
"2022","PER","Perú","2.25857"
"2023","PER","Perú","2.52051"
"2008","PHL","Filipinas","5.70917"
"2009","PHL","Filipinas","5.86957"
"2010","PHL","Filipinas","6.24398"
"2011","PHL","Filipinas","6.8458"
"2012","PHL","Filipinas","7.70185"
"2013","PHL","Filipinas","8.0851"
"2014","PHL","Filipinas","8.85312"
"2015","PHL","Filipinas","9.89692"
"2016","PHL","Filipinas","10.4109"
"2017","PHL","Filipinas","11.74267"
"2018","PHL","Filipinas","12.25807"
"2019","PHL","Filipinas","12.85306"
"2020","PHL","Filipinas","5.10928"
"2021","PHL","Filipinas","5.21305"
"2022","PHL","Filipinas","6.40839"
"2023","PHL","Filipinas","8.58703"
"2008","POL","Polonia","2.16993"
"2009","POL","Polonia","1.58816"
"2010","POL","Polonia","1.58953"
"2011","POL","Polonia","1.78246"
"2012","POL","Polonia","2.10103"
"2013","POL","Polonia","1.29852"
"2015","POL","Polonia","1.17461"
"2018","POL","Polonia","2.1"
"2019","POL","Polonia","2.2"
"2022","POL","Polonia","2.3"
"2008","PRT","Portugal","4.07"
"2009","PRT","Portugal","3.97"
"2010","PRT","Portugal","4.15"
"2014","PRT","Portugal","6.4632"
"2015","PRT","Portugal","6.6815"
"2016","PRT","Portugal","6.9"
"2017","PRT","Portugal","7.7"
"2018","PRT","Portugal","8"
"2019","PRT","Portugal","8.1"
"2020","PRT","Portugal","4.4"
"2021","PRT","Portugal","5.7"
"2022","PRT","Portugal","8.6"
"2023","PRT","Portugal","9.1"
"2016","PRI","Puerto Rico","3.4127"
"2017","PRI","Puerto Rico","3.42083"
"2018","PRI","Puerto Rico","2.91018"
"2019","PRI","Puerto Rico","3.4083"
"2020","PRI","Puerto Rico","2.7498"
"2013","QAT","Qatar","1.82417"
"2014","QAT","Qatar","2.06132"
"2015","QAT","Qatar","3.10925"
"2016","QAT","Qatar","3.84671"
"2017","QAT","Qatar","3.45242"
"2018","QAT","Qatar","3.16901"
"2019","QAT","Qatar","3.26748"
"2020","QAT","Qatar","1.98157"
"2021","QAT","Qatar","2.31883"
"2022","QAT","Qatar","2.85699"
"2009","REU","Reunión","2.41"
"2010","REU","Reunión","2.7"
"2017","REU","Reunión","3.20152"
"2019","REU","Reunión","3.3"
"2011","ROU","Rumania","1.81973"
"2012","ROU","Rumania","1.8618"
"2013","ROU","Rumania","1.93643"
"2014","ROU","Rumania","1.95678"
"2015","ROU","Rumania","2.40154"
"2016","ROU","Rumania","2.77008"
"2017","ROU","Rumania","2.78694"
"2018","ROU","Rumania","2.90898"
"2019","ROU","Rumania","2.98068"
"2020","ROU","Rumania","1.57097"
"2021","ROU","Rumania","1.58301"
"2011","RUS","Rusia","2.55051"
"2012","RUS","Rusia","2.61132"
"2013","RUS","Rusia","2.81143"
"2014","RUS","Rusia","2.91686"
"2015","RUS","Rusia","2.94184"
"2016","RUS","Rusia","3.04913"
"2017","RUS","Rusia","2.44184"
"2018","RUS","Rusia","2.3982"
"2019","RUS","Rusia","2.54538"
"2020","RUS","Rusia","2.15953"
"2021","RUS","Rusia","2.37011"
"2022","RUS","Rusia","2.3903"
"2023","RUS","Rusia","2.51388"
"2014","RWA","Ruanda","2.35"
"2015","RWA","Ruanda","2.72"
"2016","RWA","Ruanda","3.01"
"2017","RWA","Ruanda","3.38"
"2018","RWA","Ruanda","3.44"
"2019","RWA","Ruanda","3.16"
"2020","RWA","Ruanda","0.9"
"2008","LCA","Santa Lucía","30"
"2008","SAU","Arabia Saudita","2.7"
"2009","SAU","Arabia Saudita","3.3"
"2010","SAU","Arabia Saudita","3"
"2011","SAU","Arabia Saudita","2.4"
"2012","SAU","Arabia Saudita","2.2"
"2013","SAU","Arabia Saudita","2.3"
"2014","SAU","Arabia Saudita","2.3"
"2015","SAU","Arabia Saudita","2.7"
"2016","SAU","Arabia Saudita","2.8"
"2017","SAU","Arabia Saudita","2.4"
"2018","SAU","Arabia Saudita","2.2"
"2019","SAU","Arabia Saudita","3.63088"
"2020","SAU","Arabia Saudita","1.61342"
"2021","SAU","Arabia Saudita","2.69934"
"2022","SAU","Arabia Saudita","3.45959"
"2023","SAU","Arabia Saudita","4.36355"
"2017","SLE","Sierra Leona","3.5"
"2018","SLE","Sierra Leona","4.1"
"2019","SLE","Sierra Leona","3.7"
"2020","SLE","Sierra Leona","5.6"
"2015","SGP","Singapur","2.62761"
"2013","SVK","Eslovaquia","2.34921"
"2014","SVK","Eslovaquia","2.15213"
"2015","SVK","Eslovaquia","2.62467"
"2016","SVK","Eslovaquia","2.68462"
"2017","SVK","Eslovaquia","2.58073"
"2018","SVK","Eslovaquia","2.74076"
"2019","SVK","Eslovaquia","2.85776"
"2020","SVK","Eslovaquia","1.44791"
"2021","SVK","Eslovaquia","1.40964"
"2022","SVK","Eslovaquia","2.00356"
"2013","VNM","Vietnam","6.06"
"2014","VNM","Vietnam","6.14"
"2015","VNM","Vietnam","6.33"
"2016","VNM","Vietnam","6.96"
"2017","VNM","Vietnam","7.9"
"2018","VNM","Vietnam","8.39"
"2019","VNM","Vietnam","9.2"
"2020","VNM","Vietnam","3.58"
"2021","VNM","Vietnam","1.97"
"2009","SVN","Eslovenia","4.88225"
"2012","SVN","Eslovenia","4.85432"
"2014","SVN","Eslovenia","4.88984"
"2015","SVN","Eslovenia","4.94071"
"2017","SVN","Eslovenia","5.28891"
"2019","SVN","Eslovenia","5.39654"
"2020","SVN","Eslovenia","3.27481"
"2008","ZAF","Sudáfrica","3.03854"
"2009","ZAF","Sudáfrica","2.89926"
"2010","ZAF","Sudáfrica","2.92729"
"2011","ZAF","Sudáfrica","2.77565"
"2012","ZAF","Sudáfrica","2.87353"
"2013","ZAF","Sudáfrica","3.2893"
"2014","ZAF","Sudáfrica","3.36423"
"2015","ZAF","Sudáfrica","2.87584"
"2016","ZAF","Sudáfrica","2.93515"
"2017","ZAF","Sudáfrica","2.60656"
"2018","ZAF","Sudáfrica","2.75935"
"2019","ZAF","Sudáfrica","3.69756"
"2020","ZAF","Sudáfrica","2.11257"
"2021","ZAF","Sudáfrica","2.2564"
"2022","ZAF","Sudáfrica","3.54019"
"2016","ESP","España","6.5"
"2017","ESP","España","6.6"
"2018","ESP","España","6.7"
"2019","ESP","España","6.8"
"2020","ESP","España","5.0574"
"2021","ESP","España","5.50139"
"2008","SWZ","Eswatini","1.36487"
"2009","SWZ","Eswatini","1.54996"
"2010","SWZ","Eswatini","1.45438"
"2011","SWZ","Eswatini","1.19562"
"2012","SWZ","Eswatini","1.07246"
"2013","SWZ","Eswatini","0.95517"
"2014","SWZ","Eswatini","0.94373"
"2015","SWZ","Eswatini","1.09478"
"2016","SWZ","Eswatini","0.90679"
"2017","SWZ","Eswatini","1.25407"
"2018","SWZ","Eswatini","1.18346"
"2019","SWZ","Eswatini","1.18396"
"2020","SWZ","Eswatini","0.73489"
"2021","SWZ","Eswatini","0.69022"
"2008","SWE","Suecia","2.65229"
"2009","SWE","Suecia","2.77614"
"2010","SWE","Suecia","2.54512"
"2011","SWE","Suecia","2.61123"
"2012","SWE","Suecia","2.74303"
"2013","SWE","Suecia","2.67147"
"2014","SWE","Suecia","2.62691"
"2015","SWE","Suecia","2.64972"
"2016","SWE","Suecia","2.73745"
"2017","SWE","Suecia","2.60058"
"2018","SWE","Suecia","2.59829"
"2019","SWE","Suecia","2.43984"
"2020","SWE","Suecia","1.69136"
"2021","SWE","Suecia","1.93008"
"2008","CHE","Suiza","2.38091"
"2009","CHE","Suiza","2.37024"
"2010","CHE","Suiza","2.34961"
"2011","CHE","Suiza","2.27227"
"2012","CHE","Suiza","2.27447"
"2013","CHE","Suiza","2.30381"
"2014","CHE","Suiza","2.3002"
"2015","CHE","Suiza","2.27615"
"2016","CHE","Suiza","2.30333"
"2017","CHE","Suiza","2.35504"
"2018","CHE","Suiza","2.37101"
"2019","CHE","Suiza","2.38753"
"2020","CHE","Suiza","1.54353"
"2021","CHE","Suiza","1.62282"
"2022","CHE","Suiza","1.93911"
"2023","CHE","Suiza","2.14255"
"2017","TJK","Tayikistán","4.65583"
"2018","TJK","Tayikistán","3.77435"
"2019","TJK","Tayikistán","4.3023"
"2020","TJK","Tayikistán","2.3837"
"2021","TJK","Tayikistán","3.37083"
"2022","TJK","Tayikistán","3.37083"
"2010","THA","Tailandia","3.56339"
"2011","THA","Tailandia","4.19875"
"2012","THA","Tailandia","4.72683"
"2013","THA","Tailandia","5.33611"
"2014","THA","Tailandia","5.16223"
"2015","THA","Tailandia","6.19736"
"2016","THA","Tailandia","6.89754"
"2017","THA","Tailandia","7.41838"
"2018","THA","Tailandia","7.40249"
"2019","THA","Tailandia","7.37181"
"2020","THA","Tailandia","2.24962"
"2021","THA","Tailandia","0.8405"
"2022","THA","Tailandia","2.77826"
"2019","ARE","Emiratos Árabes Unidos","6.1"
"2020","ARE","Emiratos Árabes Unidos","3.9"
"2021","ARE","Emiratos Árabes Unidos","6.2"
"2018","TUN","Túnez","4.13982"
"2019","TUN","Túnez","4.49446"
"2020","TUN","Túnez","1.69938"
"2021","TUN","Túnez","1.94018"
"2022","TUN","Túnez","3.10558"
"2023","TUN","Túnez","4.88767"
"2019","TUR","Turquía","4.6"
"2020","TUR","Turquía","2.7"
"2021","TUR","Turquía","3.4"
"2022","TUR","Turquía","4.4"
"2016","UGA","Uganda","3.7"
"2019","UGA","Uganda","3.64006"
"2022","UGA","Uganda","2.52887"
"2019","MKD","Macedonia del Norte","2.35897"
"2009","EGY","Egipto","5.6"
"2010","EGY","Egipto","6.3"
"2012","EGY","Egipto","4.8"
"2013","EGY","Egipto","3.9"
"2014","EGY","Egipto","4.3"
"2015","EGY","Egipto","3.3"
"2016","EGY","Egipto","2.47"
"2017","EGY","Egipto","1.63"
"2018","EGY","Egipto","1.62"
"2019","EGY","Egipto","2.32"
"2020","EGY","Egipto","2.04"
"2008","GBR","Reino Unido","3.41659"
"2009","GBR","Reino Unido","3.46846"
"2010","GBR","Reino Unido","3.38348"
"2011","GBR","Reino Unido","3.61444"
"2012","GBR","Reino Unido","3.72259"
"2013","GBR","Reino Unido","3.6836"
"2014","GBR","Reino Unido","3.60953"
"2015","GBR","Reino Unido","3.93745"
"2016","GBR","Reino Unido","3.44672"
"2017","GBR","Reino Unido","3.42372"
"2018","GBR","Reino Unido","3.23815"
"2019","GBR","Reino Unido","3.64935"
"2020","GBR","Reino Unido","1.766"
"2008","USA","Estados Unidos","2.71192"
"2009","USA","Estados Unidos","2.59589"
"2010","USA","Estados Unidos","2.62993"
"2011","USA","Estados Unidos","2.71303"
"2012","USA","Estados Unidos","2.72392"
"2013","USA","Estados Unidos","2.81766"
"2014","USA","Estados Unidos","2.78754"
"2015","USA","Estados Unidos","2.88548"
"2016","USA","Estados Unidos","2.88621"
"2017","USA","Estados Unidos","2.9547"
"2018","USA","Estados Unidos","2.9604"
"2019","USA","Estados Unidos","3.01889"
"2020","USA","Estados Unidos","2.1474"
"2021","USA","Estados Unidos","2.76457"
"2022","USA","Estados Unidos","2.96775"
"2008","VIR","Islas Vírgenes de los Estados Unidos","22.7"
"2009","VIR","Islas Vírgenes de los Estados Unidos","21.1"
"2010","VIR","Islas Vírgenes de los Estados Unidos","20.6"
"2011","VIR","Islas Vírgenes de los Estados Unidos","22.2"
"2012","VIR","Islas Vírgenes de los Estados Unidos","26.7"
"2013","VIR","Islas Vírgenes de los Estados Unidos","29.2"
"2014","VIR","Islas Vírgenes de los Estados Unidos","30.8"
"2015","VIR","Islas Vírgenes de los Estados Unidos","31.5"
"2016","VIR","Islas Vírgenes de los Estados Unidos","30.9"
"2017","VIR","Islas Vírgenes de los Estados Unidos","25.3"
"2018","VIR","Islas Vírgenes de los Estados Unidos","20.9"
"2019","VIR","Islas Vírgenes de los Estados Unidos","25.1"
"2008","URY","Uruguay","6.18243"
"2009","URY","Uruguay","6.156"
"2010","URY","Uruguay","6.69586"
"2011","URY","Uruguay","7.97484"
"2012","URY","Uruguay","7.29637"
"2013","URY","Uruguay","6.89926"
"2014","URY","Uruguay","7.3294"
"2015","URY","Uruguay","7.15919"
"2016","URY","Uruguay","7.95896"
"2017","URY","Uruguay","9.36614"
"2018","URY","Uruguay","8.82237"
"2019","URY","Uruguay","7.59515"
"2022","URY","Uruguay","5.68173"
"2023","URY","Uruguay","8.89594"
"2008","WSM","Samoa","2.10536"
"2009","WSM","Samoa","5.93516"
"2010","WSM","Samoa","5.94588"
"2011","WSM","Samoa","5.00594"
"2012","WSM","Samoa","4.12531"
"2013","WSM","Samoa","4.71747"
"2014","WSM","Samoa","4.45779"
"2015","WSM","Samoa","5.19432"
"2016","WSM","Samoa","5.21456"
"2017","WSM","Samoa","5.36671"
"2018","WSM","Samoa","4.99849"
"2019","WSM","Samoa","4.80039"
"2020","WSM","Samoa","5.10718"
"2021","WSM","Samoa","5.45139"
"2022","WSM","Samoa","4.40606"
"2023","WSM","Samoa","3.69091"
