"decil","codigo","desagregacion","gran_categoria","categoria","subcategoria","rubro","instrumento","variable","valor"
"2","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0818622960772703"
"3","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.103173851820199"
"4","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.113785748674401"
"5","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.088858140407583"
"6","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.126935219948877"
"7","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.109383994726971"
"8","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0954333483340088"
"9","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.122122058576823"
"10","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.129284779593367"
"1","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.00378046651206796"
"2","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.0167831172086876"
"3","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.0327392270224927"
"4","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.0486606776940385"
"5","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.0487954404126613"
"6","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.0874870028697661"
"7","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.0943768597637464"
"8","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.105972005659144"
"9","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.186003083556306"
"10","3.1.1.1","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Todas las pensiones contributivas","Participación en la concentración","0.375402119301089"
"1","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","0.119466807730813"
"2","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","0.530228468912993"
"3","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","1.0344372738629"
"4","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","1.54102952839247"
"5","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","1.53816419772599"
"6","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","2.7648942003168"
"7","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","2.98406255201255"
"8","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","3.34514921681038"
"9","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","5.87683860138003"
"10","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Concentración per cápita (en dólares PPP 2011)","11.8607098908861"
"1","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.072079687440577"
"2","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0818622960772703"
"3","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.103173851820199"
"4","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.113785748674401"
"5","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.088858140407583"
"6","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.126935219948877"
"7","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.109383994726971"
"8","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0954333483340088"
"9","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.122122058576823"
"10","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.129284779593367"
"1","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.00378046651206796"
"2","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.0167831172086876"
"3","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.0327392270224927"
"4","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.0486606776940385"
"5","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.0487954404126613"
"6","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.0874870028697661"
"7","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.0943768597637464"
"8","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.105972005659144"
"9","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.186003083556306"
"10","3.1.1.1.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","Contributivas","Jubilación (per cápita)","Participación en la concentración","0.375402119301089"
"1","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.0518562859176353"
"2","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.149416946314351"
"3","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.413212318438769"
"4","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.546721355033579"
"5","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.668682102783836"
"6","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.660965557107304"
"7","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.65459571927829"
"8","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.585756390951474"
"9","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.331821589664487"
"10","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Concentración per cápita (en dólares PPP 2011)","0.124645500474807"
"1","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0312872248934154"
"2","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0230685732948717"
"3","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0412134283925007"
"4","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0403685312660248"
"5","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0386290672121006"
"6","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0303446722700761"
"7","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0239949040805272"
"8","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0167109716408542"
"9","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00689532899551558"
"10","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00135866792160334"
"1","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.0123803875278517"
"2","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.0356815848849189"
"3","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.0986670661858147"
"4","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.130247058774526"
"5","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.160040882569975"
"6","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.157789661589723"
"7","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.156194398743304"
"8","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.139999791592128"
"9","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.0792347541062945"
"10","3.1.1.2.01","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignaciones familiares","Participación en la concentración","0.029764414025465"
"1","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0099936459675297"
"2","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0224533876383752"
"3","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0135550644007974"
"4","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0135930793562548"
"5","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0120158631640661"
"6","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0133588564616522"
"7","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0093257081185117"
"8","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0057730008002395"
"9","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.0030977647937606"
"10","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Concentración per cápita (en dólares PPP 2011)","0.004409259729629"
"1","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00602961518277459"
"2","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00346659218536229"
"3","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00135197004326671"
"4","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00100367882824118"
"5","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000694143874710764"
"6","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000613299916876024"
"7","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000341843775014897"
"8","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000164697225921385"
"9","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000643722653046862"
"10","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000480620618461485"
"1","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.09288997127581"
"2","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.208755627513704"
"3","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.126012195341806"
"4","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.126075812870438"
"5","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.111963959825904"
"6","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.124159809275862"
"7","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.0866335579653123"
"8","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.0537185162700398"
"9","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.0287986117021105"
"10","3.1.1.2.02","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Becas estudiantiles","Participación en la concentración","0.0409919379590145"
"1","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0131630206577635"
"2","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0053165773191872"
"3","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0028127289141066"
"4","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.004533256052881"
"5","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0016074052816727"
"6","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0018884159995344"
"7","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0007115227937913"
"8","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0018040727645244"
"9","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0028844226689042"
"10","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Concentración per cápita (en dólares PPP 2011)","0.0042455323539907"
"1","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00794184119260384"
"2","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000820829608627484"
"3","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000280539075231431"
"4","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000334724237534827"
"5","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000928581255641767"
"6","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000086696445827264"
"7","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000260816266977025"
"8","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000514681688014253"
"9","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000599389668536282"
"10","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000462773914623746"
"1","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.337809038313214"
"2","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.136476942937898"
"3","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.0721954294444062"
"4","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.116090052790214"
"5","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.0413541882841284"
"6","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.0484596483793337"
"7","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.018250046848998"
"8","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.0463497371044008"
"9","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.0740376876724732"
"10","3.1.1.2.03","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Capacitación y empleo","Participación en la concentración","0.108977228224934"
"1","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.860282117808219"
"2","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.845766118488166"
"3","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.476953874774353"
"4","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.311900230902734"
"5","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.202734385567837"
"6","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.135359693752874"
"7","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.0989947685847892"
"8","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.0517280387644394"
"9","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.0275809506046654"
"10","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Concentración per cápita (en dólares PPP 2011)","0.0137140853947845"
"1","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.519046815932799"
"2","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.130578345869926"
"3","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0475709544158989"
"4","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0230299294277686"
"5","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0117117538718328"
"6","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00621431102020645"
"7","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0036287587998359"
"8","3.1.1.2.04","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Asignación Universal por Hijo (AUH)","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00147574282104788"
