"anio","codigo","finalidades","funciones","subfunciones","gasto_publico_consolidado"
"2007","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.236289205498618"
"2008","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.237905497884278"
"2009","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.289465386320847"
"2010","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.269822609921411"
"2011","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.267019808386574"
"2012","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.290250621373113"
"2013","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.310621814330149"
"2014","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.320104671098529"
"2015","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.315815979583977"
"2016","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.296098868320142"
"2017","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.283502036250579"
"2018","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.227936774479841"
"2019","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.199623818934709"
"2020","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.204468297067696"
"2021","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.22031598942864"
"2022","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.246089651636703"
"2023","1.2.1.3","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Ciencia y técnica","0.267382988187199"
"1980","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0704388240703323"
"1981","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.075264332875179"
"1982","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0556404670575776"
"1983","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0563742037122409"
"1984","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0814772155176039"
"1985","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.087484765795333"
"1986","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0881238866170702"
"1987","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.127175262948198"
"1988","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.127744907124534"
"1989","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.095745195608323"
"1990","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0983652830140884"
"1991","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.100916017684466"
"1992","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0734376566490496"
"1993","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.0932472891264014"
"1994","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.106448966459995"
"1995","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.118614921705679"
"1996","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.124231260659834"
"1997","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.120708548160231"
"1998","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.162568919364367"
"1999","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.183443425836345"
"2000","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.202387318213593"
"2001","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.190788108788626"
"2002","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.155057452259975"
"2003","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.150815562413374"
"2004","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.1430807800125"
"2005","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.156843995618162"
"2006","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.164029405966997"
"2007","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.176823329433976"
"2008","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.168468312429543"
"2009","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.206248151544322"
"2010","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.206793401316505"
"2011","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.210604608564731"
"2012","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.219391165294935"
"2013","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.246371197230376"
"2014","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.242176620882502"
"2015","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.248241975211193"
"2016","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.218933360996843"
"2017","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.236690946765625"
"2018","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.20861679836099"
"2019","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.188516779160338"
"2020","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.185666679813651"
"2021","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.190357275099748"
"2022","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.196900832202738"
"2023","1.2.1.4","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Cultura","0.200339244226641"
"1980","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.187836864187553"
"1981","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.260530383029466"
"1982","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.216202957709445"
"1983","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.244288216086377"
"1984","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.279350453203213"
"1985","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.29071860633526"
"1986","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.297614822436668"
"1987","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.313698981938889"
"1988","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.291988359141793"
"1989","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.241444406316641"
"1990","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.259745825459077"
"1991","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.204853473024155"
"1992","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.369643386171403"
"1993","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.331254655030411"
"1994","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.32953174289823"
"1995","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.328220390772637"
"1996","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.313730528474772"
"1997","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.327149911627446"
"1998","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.317090972029678"
"1999","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.393487063953445"
"2000","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.380420010591321"
"2001","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.374174113702173"
"2002","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.306009218847177"
"2003","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.287537540745402"
"2004","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.306089053127934"
"2005","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.357103301544042"
"2006","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.39439301690383"
"2007","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.442292623196718"
"2008","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.539968768176283"
"2009","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.603714211983509"
"2010","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.495620910207352"
"2011","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.53399323801742"
"2012","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.552274899587658"
"2013","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.530207299774902"
"2014","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.58209707540569"
"2015","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.699247965998027"
"2016","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.671937510611496"
"2017","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.613888970691831"
"2018","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.495446996286636"
"2019","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.523823622511628"
"2020","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.528711020209213"
"2021","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.566265110149988"
"2022","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.670504181599621"
"2023","1.2.1.5","GASTO PÚBLICO SOCIAL","Educación, cultura y ciencia y técnica","Educación y cultura sin discriminar","0.793024305904272"
"1980","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.16087184147473"
"1981","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.26647910107366"
"1982","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","0.931264510403113"
"1983","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","0.990248970510988"
"1984","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.20555957231099"
"1985","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.2442365113435"
"1986","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.52156870760225"
"1987","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.55870342962061"
"1988","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.41797169663125"
"1989","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.32702471914193"
"1990","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.41997112673285"
"1991","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.5774781011978"
"1992","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.7502243619693"
"1993","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.84015665976706"
"1994","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.90841786593099"
"1995","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.87417843888791"
"1996","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.77634680551875"
"1997","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.7689563234278"
"1998","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.86688879906472"
"1999","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.11515621841522"
"2000","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.16194045812264"
"2001","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.13769259116603"
"2002","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.88267626846122"
"2003","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.89534654695373"
"2004","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.74275769115267"
"2005","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.79538489513491"
"2006","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.80950226537396"
"2007","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.8927446792299"
"2008","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","1.96239499875312"
"2009","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.37174815136425"
"2010","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.24890858472347"
"2011","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.33914973035099"
"2012","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.47746457595548"
"2013","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.58122407520884"
"2014","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.59061192726715"
"2015","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.81177801652627"
"2016","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.688568167627"
"2017","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.72766388635881"
"2018","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.52516873941891"
"2019","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.52916043668614"
"2020","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","3.07362728651143"
"2021","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","3.09652885869524"
"2022","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.75574031283966"
"2023","1.2.2.1","GASTO PÚBLICO SOCIAL","Salud","Atención pública de la salud","2.73847209063528"
"1980","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.6021218796724"
"1981","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.19780758941842"
"1982","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.7291359000542"
"1983","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.65288750610125"
"1984","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.69108596641864"
"1985","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.68971340453145"
"1986","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.89702595480006"
"1987","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.05436040681312"
"1988","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.06112745235814"
"1989","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.80246941660197"
"1990","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.14917470203429"
"1991","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.04344881804341"
"1992","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.90126095229842"
"1993","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.97416028583249"
"1994","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.99666615605436"
"1995","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.03905071098255"
"1996","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.95249260059647"
"1997","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.93280721491547"
"1998","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.95627672654288"
"1999","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.14733136427789"
"2000","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.14153274662116"
"2001","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.1260913931352"
"2002","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.90845634984155"
"2003","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.79099779689392"
"2004","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.65126884579079"
"2005","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.74967596137666"
"2006","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.76256169668794"
"2007","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.82041604381129"
"2008","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","1.9700361078487"
"2009","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.58085636276935"
"2010","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.52593312225193"
"2011","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.63952082092299"
"2012","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.86079783039664"
"2013","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.92108408786786"
"2014","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.83015078673981"
"2015","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","3.01126995320716"
"2016","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.98492355030355"
"2017","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","3.10753620955683"
"2018","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.87905092654241"
"2019","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.89709491029368"
"2020","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","3.11798900577642"
"2021","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.65383913948819"
"2022","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.56434756446758"
"2023","1.2.2.2","GASTO PÚBLICO SOCIAL","Salud","Obras sociales - Atención de la salud","2.5255728386879"
"1980","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.414884673774257"
"1981","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.506123690765242"
"1982","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.425053425129138"
"1983","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.481343362644732"
"1984","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.520674325964139"
"1985","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.557947553054474"
"1986","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.617225209608873"
"1987","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.591364972709122"
"1988","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.585527906441526"
"1989","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.461300704229739"
"1990","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.638928621902917"
"1991","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.737889461283378"
"1992","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.812738501075292"
"1993","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.822244840205619"
"1994","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.957273374773233"
"1995","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","1.01525021903544"
"1996","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.88158821922231"
"1997","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.823126523562937"
"1998","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.770311015193321"
"1999","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.857904397413498"
"2000","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.785447987525279"
"2001","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.789361284837143"
"2002","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.652531566936166"
"2003","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.566510853189059"
"2004","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.496252743001023"
"2005","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.491009290829001"
"2006","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.50751400601863"
"2007","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.566481542555101"
"2008","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.634112742574472"
"2009","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.847111435503242"
"2010","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.839372709227616"
"2011","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.808764763067437"
"2012","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.865388817959243"
"2013","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.874741788392175"
"2014","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","1.05082482272118"
"2015","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","1.0319945806713"
"2016","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.951683539387096"
